,album,artist_ratio,artists,id,name,popularity,preview_url,title_ratio,uri
1509,Queen,96.0,"Nicki Minaj, The Weeknd",5vAEnWrHxLv78uwZrAJcX6,Thought I Knew You (feat. The Weeknd),49.0,,97.0,spotify:track:5vAEnWrHxLv78uwZrAJcX6
1510,Queen (Deluxe),96.0,"Nicki Minaj, The Weeknd",6uZU7ZkcLtzI1mBfy1HW7U,Thought I Knew You (feat. The Weeknd),45.0,,97.0,spotify:track:6uZU7ZkcLtzI1mBfy1HW7U
1511,Queen,96.0,"Nicki Minaj, The Weeknd",7sSwnQc7LTQ8u74axzYndn,Thought I Knew You (feat. The Weeknd),40.0,,97.0,spotify:track:7sSwnQc7LTQ8u74axzYndn
1512,ASTROWORLD,100.0,Travis Scott,6BJbOXDlgVAXSaq6wYFYT2,NC-17,69.0,https://p.scdn.co/mp3-preview/073f7da05c40bf00bd89edd36926c3daa4dadcdd?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6BJbOXDlgVAXSaq6wYFYT2
1513,ASTROWORLD,100.0,Travis Scott,4KYS9GK68yeuUJ8vJfPxrq,WHO? WHAT!,70.0,https://p.scdn.co/mp3-preview/db116db775cdbc2810f61c39df59c836d7f45a41?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4KYS9GK68yeuUJ8vJfPxrq
1514,ASTROWORLD,100.0,Travis Scott,6NMtzpDQBTOfJwMzgMX0zl,SKELETONS,71.0,https://p.scdn.co/mp3-preview/48ac5b2db97570a39265747f1eb956f62e17d0f9?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6NMtzpDQBTOfJwMzgMX0zl
1515,ASTROWORLD,100.0,Travis Scott,4MXhiYIRDMGAuvZc5IFTwC,ASTROTHUNDER,74.0,https://p.scdn.co/mp3-preview/f1c50bd85a9a523555f630d09d698ef329429e00?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4MXhiYIRDMGAuvZc5IFTwC
1516,ASTROWORLD,100.0,Travis Scott,2cYqizR4lgvp4Qu6IQ3qGN,BUTTERFLY EFFECT,83.0,https://p.scdn.co/mp3-preview/ca4f131887eae894020e48ea809af1186c95f542?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:2cYqizR4lgvp4Qu6IQ3qGN
1517,ASTROWORLD,100.0,Travis Scott,58TaFP5j5i9swOf584yon2,HOUSTONFORNICATION,73.0,https://p.scdn.co/mp3-preview/c5d1f6daa24a7b0dd7e9c4adcdee9108e4545e21?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:58TaFP5j5i9swOf584yon2
1518,ASTROWORLD,100.0,Travis Scott,6vnfObZ4Ys70SBAtti1xZ9,COFFEE BEAN,71.0,https://p.scdn.co/mp3-preview/1ad614f6b2693c956c4b2d6428df8169f452d504?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:6vnfObZ4Ys70SBAtti1xZ9
1519,I Used To Know Her,95.0,"H.E.R., Bryson Tiller",6oEVnWKgPqIEPc53OYDNqG,Could've Been (feat. Bryson Tiller),74.0,https://p.scdn.co/mp3-preview/2bf699b69458c77fde78ccecbf929c6a813df0c1?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:6oEVnWKgPqIEPc53OYDNqG
1520,If I Know Me,97.0,"Morgan Wallen, Florida Georgia Line",3EWMoDIm6lzuR0zQKtuCJX,Up Down (feat. Florida Georgia Line),75.0,https://p.scdn.co/mp3-preview/743cb6ce750b41b4f272a89e89ad11126ba4a343?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,93.0,spotify:track:3EWMoDIm6lzuR0zQKtuCJX
1521,Greetings From...Jake,100.0,Jake Owen,3dlCF1mzW1UKMOb4b1XN17,I Was Jack (You Were Diane),66.0,https://p.scdn.co/mp3-preview/e0b653181365a5f9f59f265e4e29d623be54aefc?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:3dlCF1mzW1UKMOb4b1XN17
1522,I Was Jack (You Were Diane),100.0,Jake Owen,73JliUle2q8xwGxWjOquMj,I Was Jack (You Were Diane),30.0,https://p.scdn.co/mp3-preview/acde440e2c71758f918c2fa1f1255530ce6b4c20?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:73JliUle2q8xwGxWjOquMj
1523,Graffiti U,96.0,"Keith Urban, Julia Michaels",4pWb8UZ6IPVJA3CPjCNgzq,Coming Home,57.0,,100.0,spotify:track:4pWb8UZ6IPVJA3CPjCNgzq
1524,STAY DANGEROUS,93.0,"YG, A$AP Rocky",50wkDxcIfamIajKwmgp0iB,HANDGUN (feat. A$AP Rocky),54.0,,93.0,spotify:track:50wkDxcIfamIajKwmgp0iB
1525,Evolve,100.0,Imagine Dragons,6Qn5zhYkTa37e91HC1D7lb,Whatever It Takes,80.0,,100.0,spotify:track:6Qn5zhYkTa37e91HC1D7lb
1526,Look Alive (feat. Drake),94.0,"BlocBoy JB, Drake",4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake),77.0,https://p.scdn.co/mp3-preview/4c9c1f93e4b6032679d772a0a8c3c28cef5a42ae?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL
1527,Sober,100.0,Demi Lovato,0STK94RxUulYqWzwFlyAb5,Sober,74.0,,100.0,spotify:track:0STK94RxUulYqWzwFlyAb5
1528,Sacred Hearts Club,100.0,Foster The People,4BdGO1CaObRD4La9l5Zanz,Sit Next to Me,73.0,https://p.scdn.co/mp3-preview/30818d41ad44b2b951bd28a404c38cdf5094b64d?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4BdGO1CaObRD4La9l5Zanz
