,album,artist_levenshtein,artists,billboard_SongID,billboard_Unnamed: 0,billboard_artist,billboard_date,billboard_isNew,billboard_lastPos,billboard_peakPos,billboard_rank,billboard_title,billboard_weeks,id,name,popularity,preview_url,title_levenshtein,uri
2261,Kill The Lights (Deluxe),100.0,Luke Bryan,Kick The Dust UpLuke Bryan,24601.0,Luke Bryan,2015-10-17,0.0,83.0,26.0,99.0,Kick The Dust Up,20.0,5g15o2Sm55Hn9ShK5yEXgp,Kick The Dust Up,67.0,,100.0,spotify:track:5g15o2Sm55Hn9ShK5yEXgp
2262,Classic Man (feat. Roman GianArthur),96.0,"Jidenna, Roman GianArthur",Classic ManJidenna Featuring Roman GianArthur,24648.0,Jidenna Featuring Roman GianArthur,2015-10-10,0.0,39.0,22.0,46.0,Classic Man,21.0,3G7XYAwtxtoGK7fAm4IlD9,Classic Man (feat. Roman GianArthur),61.0,https://p.scdn.co/mp3-preview/d9f04c0fcf9b455a6f624a3e0c0c73528c556f1f?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,96.0,spotify:track:3G7XYAwtxtoGK7fAm4IlD9
2263,Magazines Or Novels,100.0,Andy Grammer,"Honey, I'm Good.Andy Grammer",24650.0,Andy Grammer,2015-10-10,0.0,38.0,9.0,48.0,"Honey, I'm Good.",31.0,4MflGTO2ZTcSQ12bWcyRgI,"Honey, I'm Good.",71.0,https://p.scdn.co/mp3-preview/47241dccc756aa4213691cc4f0709523b9a42d8d?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4MflGTO2ZTcSQ12bWcyRgI
2264,Tangled Up,100.0,Thomas Rhett,Crash And BurnThomas Rhett,24664.0,Thomas Rhett,2015-10-10,0.0,53.0,36.0,62.0,Crash And Burn,20.0,2Fk0WwAqTBesLtKg97nojy,Crash and Burn,64.0,,100.0,spotify:track:2Fk0WwAqTBesLtKg97nojy
2265,Runnin' (Lose It All),90.0,"Naughty Boy, Beyoncé, Arrow Benjamin",Runnin' (Lose It All)Naughty Boy Featuring Beyonce & Arrow Benjamin,24692.0,Naughty Boy Featuring Beyonce & Arrow Benjamin,2015-10-10,1.0,0.0,90.0,90.0,Runnin' (Lose It All),1.0,5yZvaUVyuXfSVUaMumFi6l,Runnin' (Lose It All),67.0,,100.0,spotify:track:5yZvaUVyuXfSVUaMumFi6l
2266,My House,93.0,"Flo Rida, Robin Thicke, Verdine White","I Don't Like It, I Love ItFlo Rida Featuring Robin Thicke & Verdine White",24699.0,Flo Rida Featuring Robin Thicke & Verdine White,2015-10-10,0.0,64.0,43.0,97.0,"I Don't Like It, I Love It",14.0,2S5LNtRVRPbXk01yRQ14sZ,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",68.0,https://p.scdn.co/mp3-preview/00935a175d4d92d71aba1d257abe2c18438dc22e?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,98.0,spotify:track:2S5LNtRVRPbXk01yRQ14sZ
2267,To Pimp A Butterfly,100.0,Kendrick Lamar,AlrightKendrick Lamar,24700.0,Kendrick Lamar,2015-10-10,0.0,81.0,81.0,98.0,Alright,14.0,3iVcZ5G6tvkXZkZKlMpIUs,Alright,73.0,,100.0,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs
2268,Dreams Worth More Than Money,94.0,"Meek Mill, Drake",R.I.C.O.Meek Mill Featuring Drake,24702.0,Meek Mill Featuring Drake,2015-10-10,0.0,84.0,40.0,100.0,R.I.C.O.,13.0,0Y0TOsE1q11qgbi7c5WZsG,R.I.C.O. (feat. Drake),70.0,https://p.scdn.co/mp3-preview/d5f29c79f1f3e5fcbe22f23f6fddc8e3cbd7b909?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,94.0,spotify:track:0Y0TOsE1q11qgbi7c5WZsG
2269,Sex Playlist,89.0,"Omarion, Chris Brown, Jhené Aiko",Post To BeOmarion Featuring Chris Brown & Jhene Aiko,24750.0,Omarion Featuring Chris Brown & Jhene Aiko,2015-10-03,0.0,40.0,13.0,48.0,Post To Be,37.0,0fgZUSa7D7aVvv3GfO0A1n,Post to Be (feat. Chris Brown & Jhene Aiko),70.0,https://p.scdn.co/mp3-preview/4415ef7db6c5ff812c9bbb5926932f47fd27355f?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,95.0,spotify:track:0fgZUSa7D7aVvv3GfO0A1n
2270,Beauty Behind The Madness,100.0,The Weeknd,Tell Your FriendsThe Weeknd,24781.0,The Weeknd,2015-10-03,0.0,70.0,54.0,79.0,Tell Your Friends,3.0,1mhVXWduD8ReDwusfaHNwU,Tell Your Friends,67.0,,100.0,spotify:track:1mhVXWduD8ReDwusfaHNwU
